Date,Open,High,Low,Close,Volume
2017-08-23 00:00:00.000000,0.00888000,0.00888300,0.00886100,0.00886100,106.79000000
2017-08-23 00:01:00.000000,0.00888000,0.00888000,0.00886300,0.00886700,31.84000000
2017-08-23 00:02:00.000000,0.00886800,0.00887000,0.00886400,0.00886500,114.37000000
2017-08-23 00:03:00.000000,0.00886500,0.00886500,0.00885600,0.00886000,235.16000000
2017-08-23 00:04:00.000000,0.00886100,0.00888100,0.00886100,0.00887900,13.96000000
2017-08-23 00:05:00.000000,0.00887500,0.00887700,0.00885300,0.00885300,119.66000000
2017-08-23 00:06:00.000000,0.00884900,0.00885000,0.00884000,0.00884100,1148.55000000
2017-08-23 00:07:00.000000,0.00883700,0.00884100,0.00883000,0.00883000,1054.27000000
2017-08-23 00:08:00.000000,0.00881100,0.00884100,0.00880900,0.00882800,1023.45000000
2017-08-23 00:09:00.000000,0.00883400,0.00883400,0.00882700,0.00882800,242.26000000
2017-08-23 00:10:00.000000,0.00882900,0.00883500,0.00882800,0.00882800,596.07000000
2017-08-23 00:11:00.000000,0.00881800,0.00883200,0.00881700,0.00883200,49.40000000
2017-08-23 00:12:00.000000,0.00882900,0.00883500,0.00882000,0.00883500,33.15000000
2017-08-23 00:13:00.000000,0.00882500,0.00883500,0.00882500,0.00883000,100.80000000
2017-08-23 00:14:00.000000,0.00883400,0.00883500,0.00883100,0.00883500,103.38000000
2017-08-23 00:15:00.000000,0.00883300,0.00883500,0.00882200,0.00882200,339.51000000
2017-08-23 00:16:00.000000,0.00882000,0.00882500,0.00879500,0.00880100,249.15000000
2017-08-23 00:17:00.000000,0.00880200,0.00881900,0.00877400,0.00881600,948.15000000
2017-08-23 00:18:00.000000,0.00880200,0.00881800,0.00877700,0.00881800,31.40000000
2017-08-23 00:19:00.000000,0.00878400,0.00882100,0.00878300,0.00881900,26.29000000
2017-08-23 00:20:00.000000,0.00881800,0.00881800,0.00879200,0.00881300,14.49000000
2017-08-23 00:21:00.000000,0.00880800,0.00880800,0.00879400,0.00880400,204.05000000
2017-08-23 00:22:00.000000,0.00879300,0.00880300,0.00879000,0.00879700,302.11000000
2017-08-23 00:23:00.000000,0.00879900,0.00879900,0.00876700,0.00876700,880.18000000
2017-08-23 00:24:00.000000,0.00877900,0.00877900,0.00876800,0.00876800,25.13000000
2017-08-23 00:25:00.000000,0.00877500,0.00877900,0.00876300,0.00876300,81.36000000
2017-08-23 00:26:00.000000,0.00875400,0.00876200,0.00875000,0.00875900,102.58000000
2017-08-23 00:27:00.000000,0.00876200,0.00876200,0.00870000,0.00870500,690.47000000
2017-08-23 00:28:00.000000,0.00870300,0.00872700,0.00870300,0.00872400,11.00000000
2017-08-23 00:29:00.000000,0.00872000,0.00873100,0.00870600,0.00870600,328.14000000
2017-08-23 00:30:00.000000,0.00871100,0.00875000,0.00870400,0.00872800,1189.24000000
2017-08-23 00:31:00.000000,0.00872700,0.00875900,0.00870500,0.00870700,301.02000000
2017-08-23 00:32:00.000000,0.00873000,0.00876000,0.00873000,0.00875600,75.42000000
2017-08-23 00:33:00.000000,0.00875300,0.00875800,0.00873100,0.00873500,67.33000000
2017-08-23 00:34:00.000000,0.00873800,0.00876000,0.00873500,0.00876000,218.79000000
2017-08-23 00:35:00.000000,0.00875500,0.00875700,0.00874900,0.00875000,44.36000000
2017-08-23 00:36:00.000000,0.00880200,0.00881400,0.00878100,0.00879400,289.02000000
2017-08-23 00:37:00.000000,0.00880000,0.00885000,0.00880000,0.00882200,916.64000000
2017-08-23 00:38:00.000000,0.00885100,0.00885100,0.00880000,0.00880800,13.67000000
2017-08-23 00:39:00.000000,0.00884700,0.00884700,0.00880100,0.00880100,31.80000000
2017-08-23 00:40:00.000000,0.00880100,0.00884400,0.00880000,0.00884300,45.13000000
2017-08-23 00:41:00.000000,0.00883900,0.00884000,0.00880700,0.00881400,28.55000000
2017-08-23 00:42:00.000000,0.00881800,0.00882900,0.00878000,0.00878000,11.19000000
2017-08-23 00:43:00.000000,0.00878400,0.00882800,0.00878400,0.00878900,23.86000000
2017-08-23 00:44:00.000000,0.00882600,0.00882600,0.00878800,0.00878900,22.91000000
2017-08-23 00:45:00.000000,0.00879200,0.00881900,0.00875300,0.00881600,45.24000000
2017-08-23 00:46:00.000000,0.00881400,0.00881400,0.00877600,0.00880800,82.09000000
2017-08-23 00:47:00.000000,0.00877900,0.00880800,0.00877700,0.00879400,144.06000000
2017-08-23 00:48:00.000000,0.00877800,0.00879100,0.00877600,0.00878300,33.66000000
2017-08-23 00:49:00.000000,0.00880700,0.00880700,0.00877700,0.00880400,22.62000000
2017-08-23 00:50:00.000000,0.00878600,0.00881000,0.00878600,0.00880400,98.02000000
2017-08-23 00:51:00.000000,0.00880600,0.00880900,0.00880300,0.00880800,151.72000000
2017-08-23 00:52:00.000000,0.00880700,0.00880700,0.00880000,0.00880700,125.07000000
2017-08-23 00:53:00.000000,0.00880600,0.00880600,0.00880300,0.00880600,31.63000000
2017-08-23 00:54:00.000000,0.00880600,0.00881000,0.00880300,0.00880900,37.21000000
2017-08-23 00:55:00.000000,0.00880600,0.00881000,0.00880300,0.00880300,80.32000000
2017-08-23 00:56:00.000000,0.00880300,0.00880600,0.00880300,0.00880600,60.52000000
2017-08-23 00:57:00.000000,0.00880700,0.00880800,0.00880400,0.00880800,40.45000000
2017-08-23 00:58:00.000000,0.00880900,0.00881000,0.00880200,0.00880200,117.08000000
